TRACK_ID,DANCEABILITY,VALENCE,ENERGY,TEMPO,STREAMS,YEAR
1hJIbOjWpid6LtnozHmzRS,0.637,0.529,0.666,104.02,72220285,2020
1lOe9qE0vR9zwWQAOk6CoO,0.745,0.226,0.642,179.974,326794641,2019
1lsBTdE6MGsKeZCD6llNu7,0.856,0.697,0.632,112.009,39857216,2018
1nX9KhK3Fff27SnrIor2Yb,0.796,0.227,0.5,75.012,53285426,2017
1rqqCSm0Qe4I9rUvWncaom,0.579,0.681,0.904,82.014,822525134,2018
1sgDyuLooyvEML4oHspNza,0.58,0.507,0.586,147.988,157966171,2020
1tkg4EHVoqnhR6iFEXb60y,0.709,0.543,0.548,83.995,584378254,2020
1whfVLMKWqAX3uk97VXsNN,0.688,0.557,0.455,87.865,9397167,2020
1yoMvmasuxZfqHEipJhRbp,0.783,0.558,0.727,180.067,761361926,2020
1zi7xx7UVEFkmKfv06H8x0,0.792,0.37,0.625,103.967,753828189,2016
22LAwLoDA5b4AaGSkg6bKW,0.774,0.349,0.554,99.034,797164189,2020
24ySl2hOPGCDcxBxFIqWBu,0.672,0.646,0.855,123.056,41627044,2020
25oOaleife6E2MIKmFkPvg,0.842,0.298,0.597,145.992,47138183,2017
27356GVuMPFWiJSZCragoM,0.671,0.477,0.714,105.137,31573108,2019
285pBltuF7vW8TeWk8hdRR,0.511,0.218,0.566,83.903,1267665530,2018
2BJSMvOGABRxokHKB0OI8i,0.673,0.47,0.649,153.075,37454725,2018
2DEZmgHKAvm41k4J3R2E9Y,0.607,0.685,0.829,96.172,405534381,2020
2G1tXoGBaEMJ7FKGnkf6ud,0.8,0.367,0.578,143.01,193989109,2018
2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.35,0.626,91.03,709056539,2018
2IKJtXeR5UsaUjZB46fTOK,0.739,0.434,0.516,120.109,10941573,2020
2IRZnDFmlqMuOrYOLnZZyc,0.889,0.544,0.496,86.003,522394456,2018
2J4P46vCFm1rPkNkp9pZWX,0.79,0.904,0.729,159.989,94168111,2020
2JqnpexlO9dmvjUMCaLCLJ,0.55,0.274,0.415,172.065,46069786,2018
