track_id,track_name,track_popularity,track_duration_ms,artist_name,artist_popularity,artist_followers,artist_genres,album_name,release_year
5hM5arv9KDbCHS0k9uqwjr,Borderline,83,237800,Tame Impala,85.0,9517000.0,"neo-psychedelic, indie",The Slow Rush,2020
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,80,235946,Ariana Grande,90.0,107389514.0,pop,Dangerous Woman,2016
5xmPliSKbVhTojeqciPLmU,The Arrival of Kai,45,121400,Hans Zimmer,77.0,4779199.0,soundtrack,Kung Fu Panda 3 (Music from the Motion Picture),2016
0Q72W5zoeGzEwznb5l0pVl,Miracle,35,297466,BAMBARA,30.0,29328.0,"post-punk, noise rock",Stray,2020
08bklULvFx9PF8X7o07fsa,Star Wars Main Title & A Galaxy Divided,31,73178,Kevin Kiner,45.0,41374.0,soundtrack,Star Wars: The Clone Wars - The Final Season (Episodes 1-4) [Original Soundtrack],2020
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,81,190557,Travis Scott,89.0,41119579.0,rap,ASTROWORLD,2018
3cWmqvMwVQKDigWLSZ3w9h,Rockstar Made,66,193574,Playboi Carti,86.0,15026799.0,rage rap,Whole Lotta Red,2020
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),76,178000,Wallows,67.0,3002443.0,indie,Nothing Happens,2019
1tzj2vY4twkNmZ5K3DUOPp,"Theme (from ""Spider Man"") [Original Television Series]",48,39960,Michael Giacchino,63.0,430168.0,soundtrack,Spider-Man: Homecoming (Original Motion Picture Soundtrack),2017
2lOuvydCaSk8asn1HxBO9r,Be the One,47,202914,Dua Lipa,85.0,46891061.0,pop,Dua Lipa (Complete Edition),2018
1385PRUkznPuahQGBjIzAy,Head Over Boots,41,202346,Jon Pardi,73.0,2338988.0,"country, acoustic country",Hot Country Hits,2020
5F0SoxMfLTHc5IPEE9tcZx,Halo Theme Mjolnir Mix,0,251493,Martin O'Donnell,56.0,106730.0,soundtrack,"Halo 2, Vol. 1 (Original Soundtrack)",2016
4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,67,215759,Tiësto,80.0,7979622.0,"edm, trance, big room",Jackie Chan,2018
5eTNdkstwKaNahHf41fJ9u,Hotter Than Hell,64,187957,Dua Lipa,85.0,46891061.0,pop,Dua Lipa (Deluxe),2017
0X1VFWzml1YdSOOkxzOK0G,Poor Fake,35,281133,Kelsey Lu,40.0,149033.0,"alternative r&b, art pop",Blood,2019
0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),69,232253,J Balvin,86.0,39113380.0,"reggaeton, latin",UN DIA (ONE DAY) (Feat. Tainy),2020
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),80,228482,Ariana Grande,90.0,107389514.0,pop,Stuck with U,2020
0At2qAoaVjIwWNAqrscXli,Boo'd Up,68,256063,Ella Mai,69.0,6192505.0,r&b,READY,2017
5naar7XewEOAjOywIp6Jjq,Remember When,69,155146,Wallows,67.0,3002443.0,indie,Nothing Happens,2019
2mPoUsnXJBJlR9mrGTuyIN,"Superman March - From ""Superman"" / Live at Walt Disney Concert Hall, Los Angeles / 2019",21,265720,John Williams,70.0,1605047.0,soundtrack,"Celebrating John Williams (Live at Walt Disney Concert Hall, Los Angeles / 2019)",2019
727Z2S2mtNH46CbP9EWPwY,If You Love Her,73,217351,Forest Blakk,62.0,261055.0,spoken word,If You Love Her,2020
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,77,150043,Travis Scott,89.0,41119579.0,rap,ASTROWORLD,2018
6WikCGNUbXFmXoLre7vjeW,Touch It,63,260000,Ariana Grande,90.0,107389514.0,pop,Dangerous Woman,2016
7vMENgdWQAAYyu0SLztoSp,Atlantic,23,193613,Kelsey Lu,40.0,149033.0,"alternative r&b, art pop",Blood,2019
4shsCsVxXiTryOQFiSmkMR,We Are the Division,28,224973,Ola Strandh,29.0,5980.0,soundtrack,Tom Clancy's The Division (Original Game Soundtrack),2016
4XScunWTatagh0YbAaDVck,Crescent Moon - Mobile Suit Gundam: Iron-Blooded Orphans 2,40,229813,Masaru Yokoyama,47.0,33090.0,anime,MOBILE SUIT GUNDAM IRON-BLOODED ORPHANS Original Motion Picture Soundtrack Ⅱ,2017
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,78,261153,Ed Sheeran,88.0,122789460.0,soft pop,÷ (Deluxe),2017
1vvNmPOiUuyCbgWmtc6yfm,My Way,73,219159,Calvin Harris,84.0,23078931.0,edm,My Way,2016
6jA8HL9i4QGzsj6fjoxp8Y,There for You,63,221904,Martin Garrix,74.0,15121577.0,"edm, progressive house, electronica",There for You,2017
4IO2X2YoXoUMv0M2rwomLC,Long Time - Intro,75,211773,Playboi Carti,86.0,15026799.0,rage rap,Die Lit,2018
44Du2IM1bGY7dicmLfXbUs,Final Fantasy,54,219960,Drake,95.0,103067383.0,rap,Scorpion,2018
1e1JKLEDKP7hEQzJfNAgPl,Magnolia,77,181812,Playboi Carti,86.0,15026799.0,rage rap,Playboi Carti,2017
1D8bmUIhLHEO4KMS2SHwUx,Nada,49,189573,Shakira,85.0,39788275.0,latin pop,El Dorado,2017
1aDklx1GaBqHFowCzz63wU,The Night King,54,530532,Ramin Djawadi,65.0,718358.0,soundtrack,Game Of Thrones: Season 8 (Music from the HBO Series),2019
49gRYU6hBWgSH2JVixGkJq,Into You,68,244440,Ariana Grande,90.0,107389514.0,pop,Dangerous Woman,2016
58OIhH8VeCWrZTpKdVTM6y,The Day That Wasn’t,20,203866,Jeff Russo,42.0,35140.0,soundtrack,The Umbrella Academy (Original Series Soundtrack),2019
3uzQC9S17ShcnURJlQfR14,A Thief's End,0,114933,Henry Jackman,53.0,92288.0,soundtrack,Uncharted 4: A Thief's End (Original Soundtrack),2016
7DbbEaULNuEe95sxVJFwXQ,Light of the Seven,0,589094,Ramin Djawadi,65.0,718358.0,soundtrack,Game of Thrones: Season 6 (Music from the HBO® Series),2016
2h1IPjP471JJRSShTHRUhi,Dangerous Woman,0,235946,Ariana Grande,90.0,107389514.0,pop,Dangerous Woman,2016
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,79,246880,James Arthur,79.0,20852039.0,soft pop,Back from the Edge,2016
75u4UoGKIa3mDTPmCEkn4J,Nigiyaka na Machi,30,85333,Yasuharu Takanashi,58.0,111969.0,"anime, soundtrack","""Fairy Tail"" Original Soundtrack Vol.1",2017
3bIDChBaVZvtnU7cOW6k22,天泣,36,478813,時瀬高等学校箏曲部,22.0,2625.0,japanese classical,この音とまれ!～時瀬高等学校箏曲部～,2017
6pn6lXv8UjpMFAo9znYOUC,Levitating,37,203807,Dua Lipa,85.0,46891061.0,pop,Levitating EP,2020
77tQQM8iEswfiSVLbTrFPX,mary magdalene,46,321066,FKA twigs,64.0,1441913.0,"art pop, alternative r&b",MAGDALENE,2019
6hxWB5a6jxTmi9etW4Iw62,girls,63,240440,Lil Peep,82.0,15689879.0,"emo rap, cloud rap",HELLBOY,2016
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,78,299960,MGMT,73.0,3571100.0,indie,Little Dark Age,2018
3F1P0QzdXtBz0MXy7KIO5w,Fever,65,156910,Dua Lipa,85.0,46891061.0,pop,Future Nostalgia,2020
0RFxljd297sk7sKm5ZDD5J,DNA (Pedal 2 LA Mix),49,247483,BTS,85.0,81189603.0,k-pop,Love Yourself 結 'Answer',2018
4TVsTKQVeC99tCjfRKLeob,white tee,1,132226,Lil Peep,82.0,15689879.0,"emo rap, cloud rap",crybaby,2016
6f3Slt0GbA2bPZlz0aIFXN,The Business,73,164000,Tiësto,80.0,7979622.0,"edm, trance, big room",The Business,2020
3vFdNZTedff0LeqZjWxS1W,We Went,57,179360,Randy Houser,57.0,1104896.0,"country, acoustic country",Fired Up,2016
6pVVLXvKIzcOBj7uvoqU9g,Honestly,0,128680,Lil Peep,82.0,15689879.0,"emo rap, cloud rap",Honestly,2017
